"Question","Answer","Keywords"
"Hi","Hello how can I help you","hi,Hi"
"Hello","Hello how can I help you","hello,Hello"
"Hey","Hello how can I help you","hey,Hey"
"Who are you?","Im your virtual assistant","who,Who"
"What is a noun?","A noun is a word that names a person, place, thing, or idea. Examples include 'teacher,' 'city,' and 'happiness.'","noun, person, place, thing, idea"
"What is a verb?","A verb is a word that describes an action or a state. For example, 'run,' 'is,' and 'think' are verbs.","verb, action, state"
"Can you explain adjectives?","An adjective is a word that describes a noun, giving more information about it, like 'big,' 'blue,' or 'happy.'","adjective, describes, noun"
"Give me an example of a past tense verb","Sure! In the sentence 'She walked to school,' 'walked' is the past tense form of the verb 'walk.'","past tense, verb, example"
"What is a synonym for happy?","A synonym for 'happy' is 'joyful' or 'content.' Both words mean a similar positive feeling.","synonym, happy, joyful, content"
"What’s the difference between 'their' and 'there'?","'Their' shows possession, as in 'their house,' while 'there' refers to a place, as in 'over there.'","their, there, difference, possession, place"
"How do I use 'too' in a sentence?","'Too' means 'also' or 'excessively.' For example, 'I want to go too' (also) or 'This soup is too hot' (excessive).","too, also, excessively"
"What are conjunctions?","Conjunctions are words that link phrases, clauses, or words together. Examples include 'and,' 'but,' and 'or.'","conjunctions, link, words, phrases"
"Give an example of an adverb","An adverb modifies a verb, adjective, or other adverbs. In 'She sings beautifully,' 'beautifully' describes how she sings.","adverb, modifies, verb, adjective"
"What are homophones?","Homophones are words that sound the same but have different meanings, like 'two' and 'too,' or 'right' and 'write.'","homophones, sound the same, different meanings"
"Explain the difference between 'its' and 'it’s'","'Its' is possessive, like 'its color,' while 'it’s' is a contraction for 'it is.'","its, it's, possessive, contraction"
"What does 'present continuous' mean?","The present continuous tense describes actions happening now. For example, 'She is reading a book.'","present continuous, tense, actions, now"
"Can you give me an example of a compound sentence?","Sure! 'I wanted to go for a walk, but it started raining.' It combines two ideas using 'but.'","compound sentence, example"
"What are irregular verbs?","Irregular verbs are verbs that don't follow regular rules for past tense, like 'go' (went) or 'see' (saw).","irregular verbs, past tense"
"How do you form the plural of most nouns?","To form the plural, add '-s' or '-es' to most nouns. For example, 'book' becomes 'books,' and 'class' becomes 'classes.'","plural, nouns, form, s, es"
"What is a preposition?","A preposition shows the relationship between nouns and other parts of a sentence. Examples include 'in,' 'on,' and 'between.'","preposition, relationship, nouns"
"How do I use 'because' in a sentence?","'Because' is used to give reasons. For example, 'I stayed home because it was raining.'","because, reasons"
"Can you explain the future tense?","The future tense describes actions that will happen. For example, 'I will study tomorrow.'","future tense, actions"
"What is a metaphor?","A metaphor is a figure of speech that compares two things without 'like' or 'as,' e.g., 'Time is a thief.'","metaphor, figure of speech, comparison"
"Explain the difference between 'affect' and 'effect'","'Affect' is a verb meaning 'to influence,' while 'effect' is a noun meaning 'the result.'","affect, effect, difference, verb, noun"
"Explain adverbs","An adverb modifies a verb, adjective, or another adverb, explaining how, when, or where something happens. Examples include 'quickly,' 'yesterday,' and 'outside.'","adverb, modifies, verb, adjective"
"Give examples of irregular verbs","Some irregular verbs include 'go' (went), 'see' (saw), and 'buy' (bought). These verbs don't follow the usual past tense rule.","irregular verbs, examples"
"How do I use 'either' and 'neither'?","'Either' is used when one of two options is possible; 'neither' means none of the options. For example, 'You can have either cake or pie,' or 'Neither cake nor pie is available.'","either, neither, options"
"Explain possessive pronouns","Possessive pronouns show ownership, like 'mine,' 'yours,' 'his,' 'hers,' 'ours,' and 'theirs.'","possessive pronouns, ownership"
"How do I use 'for' and 'since'?","'For' is used with a period, like 'for two hours,' and 'since' with a starting point, like 'since morning.'","for, since, time"
"Explain the difference between 'who' and 'whom'","'Who' is used as the subject of a sentence, while 'whom' is used as the object. Example: 'Who is going?' vs. 'Whom did you call?'","who, whom, difference"
"How to form a question?","Form questions by placing a helping verb before the subject, like 'Is she coming?' or 'Do you know the answer?'","form, question, helping verb"
"Explain synonyms and antonyms","Synonyms are words with similar meanings, like 'happy' and 'joyful.' Antonyms are opposites, like 'hot' and 'cold.'","synonyms, antonyms, opposite, similar meanings"
"Give examples of collective nouns","Collective nouns represent a group, such as 'team,' 'class,' and 'flock.'","collective nouns, group"
"Explain reflexive pronouns","Reflexive pronouns refer back to the subject, like 'myself,' 'yourself,' and 'themselves.'","reflexive pronouns, subject"
"What is a reflexive pronoun?","A reflexive pronoun refers back to the subject of the sentence. Examples include 'myself,' 'yourself,' 'himself,' and 'themselves.'","reflexive pronoun"
"What is a subject in a sentence?","The subject is the person, place, thing, or idea that the sentence is about. Example: 'The dog runs.' The subject is 'The dog.'","subject"
"What is a predicate in a sentence?","The predicate tells something about the subject. It contains the verb and tells what the subject does. Example: 'The dog runs.' The predicate is 'runs.'","predicate"
"What are demonstrative pronouns?","Demonstrative pronouns point to specific things. Examples include 'this,' 'that,' 'these,' and 'those.'","demonstrative pronoun"
"What is the difference between 'few' and 'a few'?","'Few' suggests a small number or almost none, while 'a few' means some. Example: 'Few people came' vs. 'A few people came.'","few vs a few"
"How do I use 'would' in a sentence?","'Would' is used to express a future action in the past, or a hypothetical situation. Example: 'I would go if I had time.'","would"
"What is the difference between 'must' and 'have to'?","'Must' expresses necessity or obligation, while 'have to' also expresses necessity but is less formal. Example: 'I must study' vs. 'I have to study.'","must vs have to"
"What is a gerund?","A gerund is a verb form that ends in '-ing' and functions as a noun. Example: 'Swimming is fun.'","gerund"
"How do I use 'should' in a sentence?","'Should' is used to give advice or express a suggestion. Example: 'You should study more.'","should"
"What is the difference between 'say' and 'tell'?","'Say' is used to express words directly, while 'tell' is used when informing someone. Example: 'She said hello' vs. 'She told me to come.'","say vs tell"
"What is a modal verb?","A modal verb expresses possibility, permission, ability, or necessity. Examples include 'can,' 'could,' 'may,' and 'must.'","modal verb"
"What is the use of 'yet'?","'Yet' is used in negative sentences or questions to indicate that something has not happened up to the present. Example: 'I haven't finished yet.'","yet"
"Can you explain direct speech?","Direct speech reports someone's exact words. Example: She said, 'I am coming.'","direct speech"
"What is an exclamation?","An exclamation expresses strong emotion or surprise. Example: 'Wow!' or 'Oh no!'","exclamation"
"What are quantifiers?","Quantifiers describe the quantity or amount of something. Examples include 'some,' 'many,' 'few,' and 'all.'","quantifiers"
"What is the difference between 'borrow' and 'lend'?","'Borrow' means to take something temporarily, while 'lend' means to give something temporarily. Example: 'Can I borrow your pen?' vs. 'Can you lend me your pen?'","borrow vs lend"
"What are possessive adjectives?","Possessive adjectives show ownership. Examples include 'my,' 'your,' 'his,' 'her,' 'our,' and 'their.'","possessive adjectives"
"What is an article in grammar?","An article defines a noun as specific or unspecific. Examples include 'a,' 'an,' and 'the.'","article"
"What is an infinitive verb?","An infinitive verb is the base form of the verb preceded by 'to.' Example: 'to run,' 'to eat,' 'to swim.'","infinitive"
"Can you explain conditional sentences?","Conditional sentences express situations based on if-clauses. Example: 'If it rains, we will stay inside.'","conditional sentences"
"What is a complex sentence?","A complex sentence has one independent clause and at least one dependent clause. Example: 'Although it rained, we went for a walk.'","complex sentence"
"What is the difference between 'since' and 'for'?","'Since' refers to a specific point in time, while 'for' refers to a period of time. Example: 'I have known her since 2005.' vs. 'I have known her for 10 years.'","since vs for"
"What is the past perfect tense?","The past perfect tense describes an action completed before another action in the past. Example: 'She had left when I arrived.'","past perfect"
"What is an indirect object?","An indirect object is the recipient of the action. Example: 'I gave her a gift.' 'Her' is the indirect object.","indirect object"
"How do you form the present continuous tense?","The present continuous tense describes actions happening right now. It’s formed with 'am/is/are + verb-ing.' Example: 'I am reading a book.'","present continuous"
"What is a declarative sentence?","A declarative sentence makes a statement or gives information. Example: 'The sky is blue.'","declarative sentence"
"What is an exclamation mark used for?","An exclamation mark is used to express strong emotion or surprise. Example: 'Wow!' or 'That’s amazing!'","exclamation mark"
"Can you explain the difference between 'who' and 'whom'?","'Who' is used as a subject, while 'whom' is used as an object. Example: 'Who is that?' vs. 'Whom did you call?'","who vs whom"
"What are the three forms of irregular verbs?","The three forms of irregular verbs are the base form, past tense, and past participle. Example: 'go' (went, gone), 'eat' (ate, eaten).","irregular verbs"
"What is a correlative conjunction?","Correlative conjunctions work in pairs to link words or phrases. Examples include 'either...or,' 'neither...nor,' and 'not only...but also.'","correlative conjunction"
"What is a noun phrase?","A noun phrase consists of a noun and any modifiers. Example: 'The tall man' is a noun phrase where 'man' is the noun and 'tall' is the modifier.","noun phrase"
"What is a verb phrase?","A verb phrase consists of a main verb and its auxiliary (helping) verb. Example: 'She has been studying.'","verb phrase"
"What is a prepositional phrase?","A prepositional phrase begins with a preposition and includes a noun or pronoun. Example: 'In the park,' 'on the table.'","prepositional phrase"
"What is a sentence fragment?","A sentence fragment is an incomplete sentence that lacks a subject or a predicate. Example: 'When we went to the store.'","sentence fragment"
"What is a relative pronoun?","A relative pronoun introduces a relative clause and connects it to a main clause. Examples include 'who,' 'whom,' 'whose,' 'which,' and 'that.'","relative pronoun"
"What are linking verbs?","Linking verbs connect the subject with a subject complement. Examples include 'am,' 'is,' 'are,' 'was,' and 'were.'","linking verbs"
"What is the difference between 'fewer' and 'less'?","'Fewer' is used with countable nouns, while 'less' is used with uncountable nouns. Example: 'Fewer books' vs. 'Less water.'","fewer vs less"
"What is an active voice sentence?","In an active voice sentence, the subject performs the action. Example: 'She wrote the letter.'","active voice"
"What is a passive voice sentence?","In a passive voice sentence, the subject receives the action. Example: 'The letter was written by her.'","passive voice"
"How do you form the future perfect tense?","The future perfect tense expresses an action that will be completed before a specific point in the future. It’s formed with 'will have + past participle.' Example: 'By 5 PM, I will have finished my homework.'","future perfect"
"What is an appositive?","An appositive is a noun or noun phrase that renames or clarifies another noun. Example: 'My brother, the doctor, is coming over.'","appositive"
"What is a homonym?","Homonyms are words that have the same spelling or pronunciation but different meanings. Example: 'bat' (flying mammal) vs. 'bat' (sports equipment).","homonym"
"What is an adverbial phrase?","An adverbial phrase modifies a verb, adjective, or another adverb and describes how, when, where, or to what extent. Example: 'She sings with passion.'","adverbial phrase"
"What is a subject-verb-object structure?","The subject-verb-object (SVO) structure is the most common sentence structure in English, where the subject performs the action on the object. Example: 'She (subject) eats (verb) apples (object).'","subject,verb,object"
"What are possessive nouns?","Possessive nouns show ownership or relationship. Example: 'John's book' or 'the dog's leash.'","possessive nouns"
"What is a demonstrative adjective?","A demonstrative adjective is used to modify a noun and point to something specific. Examples include 'this,' 'that,' 'these,' and 'those.'","demonstrative adjective"
"What is a conditional sentence?","A conditional sentence expresses a situation that depends on another event happening. Example: 'If it rains, we will stay inside.'","conditional sentence"
"What is the difference between 'yet' and 'already'?","'Yet' is used in negative sentences and questions, while 'already' is used in affirmative sentences to indicate something has occurred before expected. Example: 'I haven't eaten yet.' vs. 'I have already eaten.'","yet vs already"
"What is an adverb clause?","An adverb clause modifies a verb, adjective, or another adverb, indicating how, when, where, or why something happens. Example: 'I will go because I need to buy groceries.'","adverb clause"
"What is a compound-complex sentence?","A compound-complex sentence has at least two independent clauses and one or more dependent clauses. Example: 'I went to the store, and I bought some milk because I needed it.'","compound-complex sentence"
"What is a sentence with direct object?","A direct object is the noun or pronoun that receives the action of the verb. Example: 'She kicked the ball.' 'Ball' is the direct object.","direct object"
"What is a sentence with indirect object?","An indirect object is the recipient of the direct object. Example: 'I gave him the book.' 'Him' is the indirect object.","indirect object"
"What is a subordinate clause?","A subordinate clause, also called a dependent clause, cannot stand alone and depends on an independent clause to form a complete sentence. Example: 'Because it was raining, we stayed inside.'","subordinate clause"
"What is the subjunctive mood?","The subjunctive mood is used to express wishes, suggestions, or hypothetical situations. Example: 'I wish I were taller.'","subjunctive mood"
"What is the difference between 'so' and 'because'?","'So' is used to show a result or effect, while 'because' shows a cause. Example: 'He was tired, so he went to bed' vs. 'He went to bed because he was tired.'","so vs because"
"What is an infinitive phrase?","An infinitive phrase includes an infinitive verb and its objects or modifiers. Example: 'To eat a sandwich.'","infinitive phrase"
"What is a relative adverb?","A relative adverb introduces a relative clause and modifies a verb, adjective, or adverb. Examples include 'where,' 'when,' and 'why.'","relative adverb"
"What is the past simple tense?","The past simple tense expresses actions that happened in the past. Example: 'She visited the museum yesterday.'","past simple"
"What are synonyms?","Synonyms are words that have similar meanings. Example: 'happy' and 'joyful.'","synonyms"
"What are antonyms?","Antonyms are words that have opposite meanings. Example: 'hot' and 'cold.'","antonyms"
"What is an imperative sentence?","An imperative sentence gives a command, instruction, or request. Example: 'Please close the door.'","imperative sentence"
"What is a compound sentence?","A compound sentence consists of two independent clauses joined by a conjunction. Example: 'I wanted to go to the park, but it started raining.'","compound sentence"
